Name,ISNI number,Notes
Anne Charlotte Robertson,0000 0004 6027 5532,
Maya Deren,0000 0001 0905 9154,
Maya Deren and Alexander Hamid,,
Maya Deren,0000 0000 6833 2299,
Alexander Hamid,0000 0003 6027 9392,
Tony Conrad,0000 0000 7841 188X,
"Judith Wechsler, Jean-Paul Fargier",,
Judith Wechsler,0000 0000 8405 6415,
Jean-Paul Fargier,0000 0001 2117 1317,
"Judith Wechsler, Richard Leacock",,
Richard Leacock,0000 0001 1747 805X,
,,
Emily Benton Firth,0000 0004 6022 7549,www.imdb.com/name/nm0072899/
Sabrina Zamella Foresi,0000 0003 7746 8309,"Zanella-Foresi, Sabrina"
"Person1, Person2, and Person3",,http://foo.org
